m,v,d,tt,tp,ike,cu,e,lambda,AB,AB_pred
0.2,10,0.08,-3.243680943787172,-1.820554083535592,2.302585092994046,0.0,4.605170185988092,-2.302585092994045,-0.9755336503506908,0.37703568
0.1,5,0.04,-2.7063516444666287,-1.8157735120989429,0.22314355131420974,0.0,4.605170185988092,0.0,-1.6686808309106362,0.1886564
0.2,10,0.04,-2.5029891573387664,-0.9963301062199136,2.302585092994046,0.0,4.605170185988092,-1.6094379124341005,-1.6686808309106362,0.1885369
0.2,10,0.08,-3.243680943787172,-1.820554083535592,2.302585092994046,0.0,4.605170185988092,-2.302585092994045,-0.9755336503506908,0.37721115
0.2,5,0.04,-2.772588722239781,-1.8292619793379679,0.9162907318741552,0.0,4.605170185988092,-2.302585092994045,-1.6686808309106362,0.18850125
0.5,5,0.04,-1.7610750870970602,-0.8173779583015125,1.8325814637483104,0.0,4.605170185988092,-2.302585092994045,-1.6686808309106362,0.18860991
0.1,5,0.04,-2.7063516444666287,-1.8157735120989429,0.22314355131420974,0.0,4.605170185988092,0.0,-1.6686808309106362,0.18872295
0.2,10,0.08,-3.243680943787172,-1.820554083535592,2.302585092994046,0.0,4.605170185988092,-2.302585092994045,-0.9755336503506908,0.37729174
0.1,10,0.04,-2.87316072116581,-1.4432118628050323,1.6094379124341005,0.0,4.605170185988092,-2.302585092994045,-1.6686808309106362,0.18854944
0.2,10,0.08,-3.6045383056801854,-2.0846390252271623,2.302585092994046,0.0,4.605170185988092,-1.6094379124341005,-0.9755336503506908,0.37685364
0.2,10,0.04,-2.5029891573387664,-0.9963301062199136,2.302585092994046,0.0,4.605170185988092,-1.6094379124341005,-1.6686808309106362,0.18874572
0.2,5,0.04,-3.5092281258758606,-2.4787973496238234,0.9162907318741552,0.0,6.214608098422191,-1.6094379124341005,-0.5700685422425265,0.5651439
0.5,5,0.04,-1.3293848671468107,-0.3326905960458789,1.8325814637483104,0.0,6.214608098422191,0.0,-0.5700685422425265,0.56558555
0.2,15,0.04,-3.6840909373821393,-1.6744245339536534,3.1135153092103742,1.6094379124341005,6.214608098422191,-1.6094379124341005,-0.059242918476535865,0.94432724
0.2,10,0.08,-3.507224786307685,-2.006637276125232,2.302585092994046,0.0,6.214608098422191,-2.302585092994045,0.1230786383174188,1.1300577
0.5,15,0.08,-3.085219440055527,-1.1895703526821622,4.0298060410845284,1.6094379124341005,6.214608098422191,0.0,0.6339042620834094,1.88229
0.1,5,0.04,-2.9099216171408804,-1.9923101718896299,0.22314355131420974,0.0,6.214608098422191,0.0,-0.5700685422425265,0.5650888
0.2,20,0.08,-4.520829037554341,-2.1972885793843067,3.688879454113936,1.6094379124341005,6.214608098422191,-1.6094379124341005,0.6339042620834094,1.8867764
