m,v,d,tt,tp,ike,cu,e,lambda,AB,e/cu,cu_pred,exp(cu)
0.2,10,0.04,-2.5029891573,-0.9963301062,2.302585093,0,4.605170186,-1.6094379124,-1.6686808309,4.605170186,0.9777557,
0.1,5,0.04,-2.7063516445,-1.8157735121,0.2231435513,0,4.605170186,0,-1.6686808309,4.605170186,1.0006716,
0.5,10,0.08,-2.8640025029,-1.3632342999,3.2188758249,0,4.605170186,-1.6094379124,-0.9755336504,4.605170186,1.0058503,
0.5,10,0.08,-2.5966877332,-1.1387345281,3.2188758249,0,4.605170186,-2.302585093,-0.9755336504,4.605170186,0.99323493,
0.1,10,0.04,-2.8731607212,-1.4432118628,1.6094379124,0,4.605170186,-2.302585093,-1.6686808309,4.605170186,0.9989804,
0.2,10,0.08,-3.2436809438,-1.8205540835,2.302585093,0,4.605170186,-2.302585093,-0.9755336504,4.605170186,0.9949019,
0.5,10,0.08,-2.8640025029,-1.3632342999,3.2188758249,0,4.605170186,-1.6094379124,-0.9755336504,4.605170186,1.0058503,
0.5,5,0.04,-1.7610750871,-0.8173779583,1.8325814637,0,4.605170186,-2.302585093,-1.6686808309,4.605170186,1.014822,
0.5,10,0.08,-2.5966877332,-1.1387345281,3.2188758249,0,4.605170186,-2.302585093,-0.9755336504,4.605170186,0.99323493,
0.2,10,0.04,-2.2379215797,-0.7799345826,2.302585093,0,4.605170186,-2.302585093,-1.6686808309,4.605170186,0.97836864,
0.5,10,0.08,-2.8640025029,-1.3632342999,3.2188758249,0,4.605170186,-1.6094379124,-0.9755336504,4.605170186,1.0058503,
0.2,5,0.04,-2.3164811982,-1.3839131983,0.9162907319,0,6.2146080984,0,-0.5700685422,6.2146080984,0.9879379,
0.5,5,0.04,-2.7864442685,-1.7809144892,1.8325814637,1.6094379124,6.2146080984,0,-0.0592429185,4.605170186,4.831813,
0.2,20,0.08,-4.5208290376,-2.1972885794,3.6888794541,1.6094379124,6.2146080984,-1.6094379124,0.6339042621,4.605170186,5.19635,
0.5,10,0.08,-2.8978798734,-1.3556953234,3.2188758249,0,6.2146080984,-2.302585093,0.1230786383,6.2146080984,1.0119189,
0.5,5,0.04,-3.48675527,-2.4422150441,1.8325814637,1.6094379124,6.2146080984,-2.302585093,-0.0592429185,4.605170186,5.1378703,
0.2,10,0.04,-3.756730121,-2.0931024281,2.302585093,1.6094379124,6.2146080984,-2.302585093,-0.0592429185,4.605170186,5.6920285,
0.2,15,0.04,-3.6840909374,-1.674424534,3.1135153092,1.6094379124,6.2146080984,-1.6094379124,-0.0592429185,4.605170186,5.3774896,
0.1,5,0.04,-4.0547393076,-2.9178827384,0.2231435513,0,6.2146080984,-1.6094379124,-0.5700685422,6.2146080984,1.0082111,
0.2,20,0.04,-3.1864086347,-0.9921679605,3.6888794541,1.6094379124,6.2146080984,-2.302585093,-0.0592429185,4.605170186,5.053755,
0.5,15,0.08,-3.7025727812,-1.7012462309,4.0298060411,1.6094379124,6.2146080984,-2.302585093,0.6339042621,4.605170186,4.64953,
0.5,20,0.08,-3.5078921203,-1.3203568191,4.605170186,1.6094379124,6.2146080984,-2.302585093,0.6339042621,4.605170186,5.1975594,
0.2,10,0.04,-3.9170355473,-2.2376591469,2.302585093,1.6094379124,6.907755279,-2.302585093,0.3462221896,5.2983173665,5.2497764,
0.5,5,0.04,-3.9424822129,-2.8137441057,1.8325814637,1.6094379124,6.907755279,-1.6094379124,0.3462221896,5.2983173665,5.026532,
0.1,15,0.04,-5.0359531021,-2.8254158239,2.4203681287,2.302585093,6.907755279,-1.6094379124,0.6339042621,4.605170186,10.110891,
