m,v,d,tt,tp,ike,cu,e,lambda,AB,e/cu,e_pred
0.2,10,0.04,-2.5029891573387664,-0.9963301062199136,2.302585092994046,0.0,4.605170185988092,-1.6094379124341005,-1.6686808309106362,4.605170185988092,99.95023
0.1,5,0.04,-2.7063516444666287,-1.8157735120989429,0.22314355131420974,0.0,4.605170185988092,0.0,-1.6686808309106362,4.605170185988092,99.990326
0.5,10,0.08,-2.8640025028760965,-1.36323429992886,3.218875824868201,0.0,4.605170185988092,-1.6094379124341005,-0.9755336503506908,4.605170185988092,99.81203
0.5,10,0.08,-2.596687733248749,-1.1387345280740917,3.218875824868201,0.0,4.605170185988092,-2.302585092994045,-0.9755336503506908,4.605170185988092,99.99901
0.1,10,0.04,-2.87316072116581,-1.4432118628050323,1.6094379124341005,0.0,4.605170185988092,-2.302585092994045,-1.6686808309106362,4.605170185988092,99.95214
0.2,10,0.08,-3.243680943787172,-1.820554083535592,2.302585092994046,0.0,4.605170185988092,-2.302585092994045,-0.9755336503506908,4.605170185988092,99.9591
0.5,10,0.08,-2.8640025028760965,-1.36323429992886,3.218875824868201,0.0,4.605170185988092,-1.6094379124341005,-0.9755336503506908,4.605170185988092,100.05939
0.5,5,0.04,-1.7610750870970602,-0.8173779583015125,1.8325814637483104,0.0,4.605170185988092,-2.302585092994045,-1.6686808309106362,4.605170185988092,99.96683
0.5,10,0.08,-2.596687733248749,-1.1387345280740917,3.218875824868201,0.0,4.605170185988092,-2.302585092994045,-0.9755336503506908,4.605170185988092,99.990944
0.2,10,0.04,-2.237921579668324,-0.7799345826338292,2.302585092994046,0.0,4.605170185988092,-2.302585092994045,-1.6686808309106362,4.605170185988092,100.04064
0.5,10,0.08,-2.8640025028760965,-1.36323429992886,3.218875824868201,0.0,4.605170185988092,-1.6094379124341005,-0.9755336503506908,4.605170185988092,100.03544
0.2,5,0.04,-2.316481198186157,-1.3839131983394977,0.9162907318741552,0.0,6.214608098422191,0.0,-0.5700685422425265,6.214608098422191,500.16483
0.5,5,0.04,-2.7864442685302215,-1.7809144891878927,1.8325814637483104,1.6094379124341005,6.214608098422191,0.0,-0.059242918476535865,4.605170185988092,500.24164
0.2,20,0.08,-4.520829037554341,-2.1972885793843067,3.688879454113936,1.6094379124341005,6.214608098422191,-1.6094379124341005,0.6339042620834094,4.605170185988092,500.22827
0.5,10,0.08,-2.8978798733864863,-1.3556953234118834,3.218875824868201,0.0,6.214608098422191,-2.302585092994045,0.1230786383174188,6.214608098422191,499.70688
0.5,5,0.04,-3.486755270023802,-2.442215044080437,1.8325814637483104,1.6094379124341005,6.214608098422191,-2.302585092994045,-0.059242918476535865,4.605170185988092,500.23184
0.2,10,0.04,-3.756730121022111,-2.093102428137718,2.302585092994046,1.6094379124341005,6.214608098422191,-2.302585092994045,-0.059242918476535865,4.605170185988092,500.10544
0.2,15,0.04,-3.6840909373821393,-1.6744245339536534,3.1135153092103742,1.6094379124341005,6.214608098422191,-1.6094379124341005,-0.059242918476535865,4.605170185988092,500.37476
0.1,5,0.04,-4.054739307629742,-2.9178827383567474,0.22314355131420974,0.0,6.214608098422191,-1.6094379124341005,-0.5700685422425265,6.214608098422191,500.936
0.2,20,0.04,-3.1864086347306992,-0.9921679605472518,3.688879454113936,1.6094379124341005,6.214608098422191,-2.302585092994045,-0.059242918476535865,4.605170185988092,499.8115
0.5,15,0.08,-3.702572781245939,-1.7012462309182883,4.0298060410845284,1.6094379124341005,6.214608098422191,-2.302585092994045,0.6339042620834094,4.605170185988092,499.8513
0.5,20,0.08,-3.5078921203331186,-1.320356819068612,4.605170185988092,1.6094379124341005,6.214608098422191,-2.302585092994045,0.6339042620834094,4.605170185988092,500.18484
0.2,10,0.04,-3.9170355472516905,-2.23765914691521,2.302585092994046,1.6094379124341005,6.907755278982138,-2.302585092994045,0.3462221896316285,5.298317366548036,1000.09644
0.5,5,0.04,-3.9424822129128554,-2.8137441056612738,1.8325814637483104,1.6094379124341005,6.907755278982138,-1.6094379124341005,0.3462221896316285,5.298317366548036,999.85565
0.1,15,0.04,-5.035953102080546,-2.8254158238874685,2.4203681286504293,2.302585092994046,6.907755278982138,-1.6094379124341005,0.6339042620834094,4.605170185988092,999.72644
0.2,15,0.04,-4.052435159144891,-2.0002016176893718,3.1135153092103742,2.302585092994046,6.907755278982138,-2.302585092994045,0.6339042620834094,4.605170185988092,998.9764
0.5,15,0.08,-3.8584822385001165,-1.8165112835708157,4.0298060410845284,1.6094379124341005,6.907755278982138,-2.302585092994045,1.0393693701915738,5.298317366548036,999.00256
0.2,20,0.08,-4.29768548624013,-2.056350210456438,3.688879454113936,1.6094379124341005,6.907755278982138,-2.302585092994045,1.0393693701915738,5.298317366548036,1000.4083
0.1,20,0.04,-3.9867465516240825,-1.7600515217437784,2.9957322735539913,1.6094379124341005,6.907755278982138,-2.302585092994045,0.3462221896316285,5.298317366548036,1001.5028
0.5,10,0.04,-3.597942459121834,-1.9139542222140475,3.218875824868201,2.302585092994046,6.907755278982138,-2.302585092994045,0.6339042620834094,4.605170185988092,1000.7023
0.5,10,0.04,-3.4647763633050266,-1.7879427621299298,3.218875824868201,1.6094379124341005,6.907755278982138,-1.6094379124341005,0.3462221896316285,5.298317366548036,1000.3344
0.5,20,0.04,-2.9454194596804015,-0.6496127081363274,4.605170185988092,2.302585092994046,6.907755278982138,-2.302585092994045,0.6339042620834094,4.605170185988092,1000.3354
0.5,20,0.04,-2.9454194596804015,-0.6496127081363274,4.605170185988092,2.302585092994046,6.907755278982138,-2.302585092994045,0.6339042620834094,4.605170185988092,1000.9385
0.2,15,0.04,-4.194385916402327,-2.1121300363033693,3.1135153092103742,3.218875824868201,7.824046010856294,0.0,1.5501949939575643,4.605170185988092,2498.6821
0.5,15,0.08,-3.993233060853689,-1.9250257541395899,4.0298060410845284,1.6094379124341005,7.824046010856294,-2.302585092994045,1.7325165507515192,6.214608098422191,2500.004
0.5,10,0.04,-4.688551794927141,-2.8481401972811335,3.218875824868201,3.218875824868201,7.824046010856294,-1.6094379124341005,1.5501949939575643,4.605170185988092,2500.501
0.1,10,0.04,-4.6011781647185535,-2.8276448767878617,1.6094379124341005,1.6094379124341005,7.824046010856294,-2.302585092994045,1.0393693701915738,6.214608098422191,2500.2065
0.1,15,0.04,-3.615628992374344,-1.6707602776168318,2.4203681286504293,1.6094379124341005,7.824046010856294,0.0,1.0393693701915738,6.214608098422191,2499.2996
0.1,15,0.04,-3.615628992374344,-1.6707602776168318,2.4203681286504293,1.6094379124341005,7.824046010856294,0.0,1.0393693701915738,6.214608098422191,2498.5427
