m,v,d,tt,tp,ike,cu,e,lambda,AB,AB_pred
0.1,5,0.04,-3.4088264088266467,-2.445993676289402,0.22314355131420976,0.0,4.605170185988092,-2.3025850929940455,-1.6686808309106362,0.18866311
0.1,5,0.04,-2.7063516444666287,-1.8157735120989429,0.22314355131420976,0.0,4.605170185988092,0.0,-1.6686808309106362,0.1885693
0.1,5,0.04,-2.7063516444666287,-1.8157735120989429,0.22314355131420976,0.0,4.605170185988092,0.0,-1.6686808309106362,0.1889572
0.5,10,0.08,-2.8640025028760965,-1.36323429992886,3.2188758248682006,0.0,4.605170185988092,-1.6094379124341003,-0.9755336503506908,0.37696365
0.1,5,0.04,-3.4088264088266467,-2.445993676289402,0.22314355131420976,0.0,4.605170185988092,-2.3025850929940455,-1.6686808309106362,0.18844472
0.1,5,0.04,-2.7063516444666287,-1.8157735120989429,0.22314355131420976,0.0,4.605170185988092,0.0,-1.6686808309106362,0.18841453
0.2,5,0.04,-2.033168829349157,-1.1424513299000985,0.9162907318741551,0.0,4.605170185988092,0.0,-1.6686808309106362,0.18857555
0.1,5,0.04,-3.4088264088266467,-2.445993676289402,0.22314355131420976,0.0,4.605170185988092,-2.3025850929940455,-1.6686808309106362,0.18851465
0.5,10,0.08,-2.5966877332487495,-1.1387345280740915,3.2188758248682006,0.0,4.605170185988092,-2.3025850929940455,-0.9755336503506908,0.37725005
0.1,10,0.04,-3.1359143041538533,-1.656634347265075,1.6094379124341003,0.0,4.605170185988092,-1.6094379124341003,-1.6686808309106362,0.18858756
0.2,5,0.04,-2.772588722239781,-1.829261979337968,0.9162907318741551,0.0,4.605170185988092,-2.3025850929940455,-1.6686808309106362,0.18853186
0.1,20,0.04,-3.802272141469027,-1.618337395621133,2.995732273553991,1.6094379124341003,6.214608098422191,-2.3025850929940455,-0.05924291847653586,0.9426999
0.1,5,0.04,-2.9099216171408804,-1.99231017188963,0.22314355131420976,0.0,6.214608098422191,0.0,-0.5700685422425265,0.5658329
0.1,20,0.04,-4.067507908268541,-1.838172062061555,2.995732273553991,1.6094379124341003,6.214608098422191,-1.6094379124341003,-0.05924291847653586,0.9434143
0.1,5,0.04,-4.054739307629741,-2.9178827383567474,0.22314355131420976,0.0,6.214608098422191,-1.6094379124341003,-0.5700685422425265,0.5654827
0.2,10,0.08,-3.884407838395173,-2.2491580766111934,2.302585092994046,0.0,6.214608098422191,-1.6094379124341003,0.1230786383174188,1.1305953
0.2,10,0.04,-2.997333554920965,-1.39940391707361,2.302585092994046,0.0,6.214608098422191,-1.6094379124341003,-0.5700685422425265,0.5660247
0.5,10,0.04,-2.904430115147205,-1.259443231852011,3.2188758248682006,1.6094379124341003,6.214608098422191,-2.3025850929940455,-0.05924291847653586,0.9429321
0.1,20,0.04,-3.802272141469027,-1.618337395621133,2.995732273553991,1.6094379124341003,6.214608098422191,-2.3025850929940455,-0.05924291847653586,0.9429377
0.5,10,0.04,-2.904430115147205,-1.259443231852011,3.2188758248682006,1.6094379124341003,6.214608098422191,-2.3025850929940455,-0.05924291847653586,0.9427856
0.1,20,0.08,-3.8332118250038563,-1.902413973346991,2.995732273553991,0.0,6.214608098422191,-1.6094379124341003,0.1230786383174188,1.1307507
0.2,5,0.04,-3.5092281258758606,-2.478797349623823,0.9162907318741551,0.0,6.214608098422191,-1.6094379124341003,-0.5700685422425265,0.5648176
0.5,10,0.04,-3.597942459121834,-1.9139542222140475,3.2188758248682006,2.302585092994046,6.907755278982137,-2.3025850929940455,0.6339042620834094,1.8833371
0.2,10,0.04,-4.706096104578052,-2.869416853549776,2.302585092994046,2.302585092994046,6.907755278982137,-1.6094379124341003,0.6339042620834094,1.8855006
0.5,5,0.04,-3.9424822129128545,-2.8137441056612738,1.8325814637483102,1.6094379124341003,6.907755278982137,-1.6094379124341003,0.34622218963162854,1.4135573
0.1,20,0.04,-4.411249493350785,-2.1164707379613947,2.995732273553991,2.302585092994046,6.907755278982137,-2.3025850929940455,0.6339042620834094,1.8886429
0.5,20,0.08,-4.472389074754273,-2.0677975962967894,4.605170185988092,2.302585092994046,6.907755278982137,-1.6094379124341003,1.3270514426433548,3.7700791
0.5,5,0.04,-3.9424822129128545,-2.8137441056612738,1.8325814637483102,1.6094379124341003,6.907755278982137,-1.6094379124341003,0.34622218963162854,1.414282
0.5,15,0.08,-3.858482238500116,-1.8165112835708155,4.029806041084529,1.6094379124341003,6.907755278982137,-2.3025850929940455,1.0393693701915738,2.828737
0.2,15,0.04,-3.6067466245754143,-1.5870112798725438,3.1135153092103742,1.6094379124341003,6.907755278982137,-2.3025850929940455,0.34622218963162854,1.4139961
0.2,20,0.04,-3.39203944387739,-1.1507733278583585,3.6888794541139363,1.6094379124341003,6.907755278982137,-2.3025850929940455,0.34622218963162854,1.4130673
0.5,10,0.04,-3.1172221711417007,-1.4566824912419125,3.2188758248682006,1.6094379124341003,6.907755278982137,-2.3025850929940455,0.34622218963162854,1.4152704
0.2,20,0.08,-4.611188258313654,-2.262288036229509,3.6888794541139363,1.6094379124341003,6.907755278982137,-1.6094379124341003,1.0393693701915738,2.8261619
0.2,10,0.04,-4.072191757580967,-2.3619105590788605,2.302585092994046,1.6094379124341003,7.824046010856292,-2.3025850929940455,1.0393693701915738,2.8234687
0.2,15,0.04,-3.776618368421943,-1.72912275538008,3.1135153092103742,1.6094379124341003,7.824046010856292,-2.3025850929940455,1.0393693701915738,2.8232822
0.5,15,0.08,-4.3614400010654935,-2.1877575315633067,4.029806041084529,1.6094379124341003,7.824046010856292,-1.6094379124341003,1.7325165507515192,5.6456556
0.5,15,0.08,-4.3614400010654935,-2.1877575315633067,4.029806041084529,1.6094379124341003,7.824046010856292,-1.6094379124341003,1.7325165507515192,5.6584654
0.5,20,0.08,-4.15664558841948,-1.8279422415998852,4.605170185988092,1.6094379124341003,7.824046010856292,-1.6094379124341003,1.7325165507515192,5.6523466
0.5,10,0.04,-4.688551794927142,-2.848140197281134,3.2188758248682006,3.2188758248682006,7.824046010856292,-1.6094379124341003,1.5501949939575645,4.720304
0.5,15,0.08,-4.3614400010654935,-2.1877575315633067,4.029806041084529,1.6094379124341003,7.824046010856292,-1.6094379124341003,1.7325165507515192,5.6508455
0.5,15,0.08,-3.9932330608536892,-1.92502575413959,4.029806041084529,1.6094379124341003,7.824046010856292,-2.3025850929940455,1.7325165507515192,5.6527686
0.5,15,0.08,-3.9932330608536892,-1.92502575413959,4.029806041084529,1.6094379124341003,7.824046010856292,-2.3025850929940455,1.7325165507515192,5.652513
0.2,20,0.04,-3.583438941655939,-1.302865393302289,3.6888794541139363,1.6094379124341003,7.824046010856292,-2.3025850929940455,1.0393693701915738,2.826764
0.5,15,0.04,-4.1092551749578545,-2.010214031056133,4.029806041084529,3.2188758248682006,7.824046010856292,-2.3025850929940455,1.5501949939575645,4.718049
0.2,10,0.08,-3.7661925572166064,-2.159975036436319,2.302585092994046,0.0,5.298317366548036,-1.6094379124341003,-0.5700685422425265,0.5648867
0.1,5,0.04,-3.9633162998156966,-2.8405078846444036,0.22314355131420976,0.0,5.298317366548036,-1.6094379124341003,-1.2632157228024719,0.28291756
0.5,5,0.04,-2.0396056331826364,-1.0814720258505206,1.8325814637483102,0.0,5.298317366548036,-2.3025850929940455,-1.2632157228024719,0.28292528
0.1,5,0.04,-3.5906644066169813,-2.5699417989845807,0.22314355131420976,0.0,5.298317366548036,-2.3025850929940455,-1.2632157228024719,0.28281412
0.2,5,0.04,-2.959207498871619,-1.9884461115799044,0.9162907318741551,0.0,5.298317366548036,-2.3025850929940455,-1.2632157228024719,0.28285047
0.2,10,0.04,-2.437717766985542,-0.9369323109920202,2.302585092994046,0.0,5.298317366548036,-2.3025850929940455,-1.2632157228024719,0.2827049
0.2,10,0.08,-3.7661925572166064,-2.159975036436319,2.302585092994046,0.0,5.298317366548036,-1.6094379124341003,-0.5700685422425265,0.5655299
0.5,10,0.08,-2.7598699498320065,-1.2565019497822223,3.2188758248682006,0.0,5.298317366548036,-2.3025850929940455,-0.5700685422425265,0.5657366
0.5,5,0.04,-2.442537053421491,-1.4708418668438428,1.8325814637483102,0.0,5.298317366548036,-1.6094379124341003,-1.2632157228024719,0.28283927
0.1,5,0.04,-3.9633162998156966,-2.8405078846444036,0.22314355131420976,0.0,5.298317366548036,-1.6094379124341003,-1.2632157228024719,0.2829273
