m,v,d,tt,tp,ike,cu,e,lambda,cu_pred
0.2,10,0.04,-3.0778103845895983,-1.4659438127953708,2.302585092994046,1.6094379124341005,6.214608098422191,0.0,2.3265183
0.5,5,0.04,-2.7864442685302215,-1.7809144891878927,1.8325814637483104,1.6094379124341005,6.214608098422191,0.0,5.2284036
0.5,10,0.04,-2.200570167587316,-0.5928892610316869,3.218875824868201,1.6094379124341005,6.214608098422191,0.0,1.8556136
0.2,15,0.04,-3.3991993789994823,-1.390945159335318,3.1135153092103742,2.302585092994046,6.907755278982138,0.0,2.3512084
0.5,10,0.04,-2.8982426522767337,-1.2365648689265951,3.218875824868201,2.302585092994046,6.907755278982138,0.0,2.3824916
0.5,15,0.04,-2.554900021608536,-0.5400965341190486,4.0298060410845284,2.302585092994046,6.907755278982138,0.0,1.8313359
0.5,20,0.08,-3.4731231212337432,-1.2612347529371888,4.605170185988092,2.302585092994046,6.907755278982138,0.0,4.1945477
0.5,15,0.04,-3.4191577070391483,-1.350433130869188,4.0298060410845284,3.218875824868201,7.824046010856294,0.0,3.0350454
0.1,5,0.04,-2.827171632010073,-1.9139542222140475,0.22314355131420974,0.0,5.298317366548036,0.0,2.3492122
0.1,10,0.04,-3.7661925572166064,-2.1279933342620323,1.6094379124341005,1.6094379124341005,6.907755278982138,0.0,3.4676094
0.5,5,0.04,-2.894259304623357,-1.879856526264133,1.8325814637483104,1.6094379124341005,6.907755278982138,0.0,9.618149
0.5,10,0.04,-2.3534574233678023,-0.7289235921358533,3.218875824868201,1.6094379124341005,6.907755278982138,0.0,2.0071743
0.2,15,0.04,-3.5240432116610014,-1.4972169833196347,3.1135153092103742,2.302585092994046,7.600902459542082,0.0,3.1999004
0.2,20,0.04,-3.339349978336075,-1.09618324119405,3.688879454113936,2.302585092994046,7.600902459542082,0.0,3.029075
0.5,10,0.04,-3.0311522187852518,-1.3558815547116954,3.218875824868201,2.302585092994046,7.600902459542082,0.0,2.8773386
0.2,15,0.04,-4.294748626566822,-2.1941253847985465,3.1135153092103742,3.218875824868201,8.517193191416238,0.0,10.673116
0.2,20,0.04,-4.108037889354104,-1.7506098483831658,3.688879454113936,3.218875824868201,8.517193191416238,0.0,13.357741
0.5,10,0.04,-3.824928298577212,-2.1141820658842234,3.218875824868201,3.218875824868201,8.517193191416238,0.0,10.531982
0.5,15,0.04,-3.5459919665653885,-1.462294583989758,4.0298060410845284,3.218875824868201,8.517193191416238,0.0,3.4941146
0.2,5,0.04,-2.316481198186157,-1.3839131983394977,0.9162907318741552,0.0,6.214608098422191,0.0,1.9424894
0.5,5,0.04,-1.3293848671468107,-0.3326905960458789,1.8325814637483104,0.0,6.214608098422191,0.0,1.8572384
