id,d,lambda,m,v,e,cu,e/cu,g/cu,tp/d,tt,ike,cup,ke/cup,v2,tp
1,0.04,0.0,0.1,5,100,1,100,33.33333333,4.0678,0.06677999999999999,1.25,0.050265482,24.86795986,25,0.162712
224,0.04,0.2,0.1,10,100,1,100,33.33333333,4.7695,0.043460000000000006,5.0,0.050265482,99.47183943,100,0.19078
230,0.08,0.2,0.2,10,100,1,100,33.33333333,1.5544,0.0272,10.0,0.40212386,24.86795986,100,0.124352
122,0.08,0.1,0.5,10,100,1,100,33.33333333,4.0028,0.07452,25.0,0.40212386,62.16989965,100,0.320224
116,0.04,0.1,0.5,5,100,1,100,33.33333333,11.0397,0.17185999999999998,6.25,0.050265482,124.3397993,25,0.441588
115,0.04,0.1,0.2,10,100,1,100,33.33333333,11.4609,0.10668,10.0,0.050265482,198.9436789,100,0.458436
223,0.04,0.2,0.1,5,100,1,100,33.33333333,1.6307,0.0234,1.25,0.050265482,24.86795986,25,0.06522800000000001
112,0.04,0.1,0.1,5,100,1,100,33.33333333,2.166,0.03308,1.25,0.050265482,24.86795986,25,0.08664
226,0.04,0.2,0.2,10,100,1,100,33.33333333,9.2308,0.08184,10.0,0.050265482,198.9436789,100,0.369232
119,0.08,0.1,0.2,10,100,1,100,33.33333333,2.0242,0.03902,10.0,0.40212386,24.86795986,100,0.161936
116,0.04,0.1,0.5,5,100,1,100,33.33333333,11.0397,0.17185999999999998,6.25,0.050265482,124.3397993,25,0.441588
245,0.08,0.2,0.5,20,500,5,100,33.33333333,2.6496,0.02282,100.0,2.010619298,49.73591972,400,0.211968
240,0.04,0.2,0.2,20,500,5,100,33.33333333,7.5003,0.03228,40.0,0.251327412,159.1549431,400,0.300012
130,0.04,0.1,0.5,5,500,5,100,33.33333333,2.1742,0.0306,6.25,0.251327412,24.86795986,25,0.086968
235,0.04,0.2,0.1,10,500,5,100,33.33333333,1.406,0.00922,5.0,0.251327412,19.89436789,100,0.05624
130,0.04,0.1,0.5,5,500,5,100,33.33333333,2.1742,0.0306,6.25,0.251327412,24.86795986,25,0.086968
19,0.04,0.0,0.5,5,500,5,100,33.33333333,4.2121,0.06164,6.25,0.251327412,24.86795986,25,0.16848400000000002
188,0.04,0.1,0.2,5,500,1,500,166.66666669999998,2.9625,0.04384,2.5,0.050265482,49.73591972,25,0.1185
