,id,d,lambda,m,v,e,cu,e/cu,g/cu,tp/d,tt,ike,cup,ke/cup,v2,tp
0,1,0.04,0.0,0.1,5,4.605170185988092,0.0,100,33.33333333,4.0678,0.06677999999999999,1.25,0.050265482,24.86795986,25,0.162712
53,119,0.08,0.1,0.2,10,4.605170185988092,0.0,100,33.33333333,2.0242,0.03902,10.0,0.40212386,24.86795986,100,0.161936
54,122,0.08,0.1,0.5,10,4.605170185988092,0.0,100,33.33333333,4.0028,0.07452,25.0,0.40212386,62.16989965,100,0.320224
51,115,0.04,0.1,0.2,10,4.605170185988092,0.0,100,33.33333333,11.4609,0.10668,10.0,0.050265482,198.9436789,100,0.458436
137,223,0.04,0.2,0.1,5,4.605170185988092,0.0,100,33.33333333,1.6307,0.0234,1.25,0.050265482,24.86795986,25,0.06522800000000001
48,112,0.04,0.1,0.1,5,4.605170185988092,0.0,100,33.33333333,2.166,0.03308,1.25,0.050265482,24.86795986,25,0.08664
138,224,0.04,0.2,0.1,10,4.605170185988092,0.0,100,33.33333333,4.7695,0.043460000000000006,5.0,0.050265482,99.47183943,100,0.19078
140,230,0.08,0.2,0.2,10,4.605170185988092,0.0,100,33.33333333,1.5544,0.0272,10.0,0.40212386,24.86795986,100,0.124352
48,112,0.04,0.1,0.1,5,4.605170185988092,0.0,100,33.33333333,2.166,0.03308,1.25,0.050265482,24.86795986,25,0.08664
48,112,0.04,0.1,0.1,5,4.605170185988092,0.0,100,33.33333333,2.166,0.03308,1.25,0.050265482,24.86795986,25,0.08664
54,122,0.08,0.1,0.5,10,4.605170185988092,0.0,100,33.33333333,4.0028,0.07452,25.0,0.40212386,62.16989965,100,0.320224
201,304,0.08,0.2,0.2,10,6.214608098422191,0.0,500,166.66666669999998,1.3186,0.02056,10.0,0.40212386,24.86795986,100,0.105488
64,134,0.08,0.1,0.5,20,6.214608098422191,1.6094379124341003,100,33.33333333,3.338,0.029960000000000004,100.0,2.010619298,49.73591972,400,0.26704
58,128,0.04,0.1,0.2,15,6.214608098422191,1.6094379124341003,100,33.33333333,6.057,0.0333,22.5,0.251327412,89.52465549,225,0.24228000000000002
204,308,0.08,0.2,0.5,15,6.214608098422191,0.0,500,166.66666669999998,4.0147,0.049280000000000004,56.25,0.40212386,139.88227419999998,225,0.321176
109,190,0.04,0.1,0.5,5,6.214608098422191,0.0,500,166.66666669999998,6.9102,0.10424000000000001,6.25,0.050265482,124.3397993,25,0.276408
56,126,0.04,0.1,0.1,20,6.214608098422191,1.6094379124341003,100,33.33333333,4.9557,0.02232,20.0,0.251327412,79.57747155,400,0.19822800000000002
145,239,0.04,0.2,0.2,15,6.214608098422191,1.6094379124341003,100,33.33333333,4.6854,0.02512,22.5,0.251327412,89.52465549,225,0.187416
33,75,0.04,0.0,0.1,5,6.214608098422191,0.0,500,166.66666669999998,3.4095,0.054479999999999994,1.25,0.050265482,24.86795986,25,0.13638
